City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,Kommunar,59.6206,30.39,24.33,99,100,1.88,RU,2021-12-13 00:34:40
316,Talara,-4.5772,-81.2719,67.73,85,19,8.77,PE,2021-12-13 00:34:40
317,Batagay,67.6333,134.6333,-44.25,100,71,1.19,RU,2021-12-13 00:34:40
318,Nangomba,-10.9,38.5,70.97,93,63,1.7,TZ,2021-12-13 00:34:40
319,Upington,-28.4478,21.2561,70.18,68,0,2.3,ZA,2021-12-13 00:35:41
320,Uglegorsk,49.0833,142.0333,27.66,92,100,26.71,RU,2021-12-13 00:35:41
321,Nampula,-15.1165,39.2666,68.23,96,40,3.98,MZ,2021-12-13 00:35:41
322,Mangrol,21.1167,70.1167,71.01,60,0,8.19,IN,2021-12-13 00:35:42
323,Pinega,64.7001,43.3936,12.54,95,99,6.8,RU,2021-12-13 00:35:42
324,Zhanaozen,43.3,52.8,22.26,73,0,10.98,KZ,2021-12-13 00:35:42
325,Sola,-13.8833,167.55,84.87,84,90,5.75,VU,2021-12-13 00:35:42
326,Half Moon Bay,37.4636,-122.4286,55.42,92,90,5.01,US,2021-12-13 00:35:43
327,Urdoma,61.7533,48.5442,5.05,94,97,5.46,RU,2021-12-13 00:35:43
328,Ust-Tsilma,65.441,52.1498,17.94,90,100,5.93,RU,2021-12-13 00:35:43
329,Saint Anthony,45.0205,-93.218,33.82,71,1,3.0,US,2021-12-13 00:35:43
330,Albania,41.0,20.0,38.59,88,100,1.77,AL,2021-12-13 00:35:44
331,Luderitz,-26.6481,15.1594,61.12,82,39,13.0,NA,2021-12-13 00:35:44
332,Phan Thiet,10.9333,108.1,76.42,73,72,3.56,VN,2021-12-13 00:35:44
333,Tilichiki,60.4667,166.1,-5.98,92,100,20.76,RU,2021-12-13 00:35:45
334,Shubarshi,48.5872,57.1869,14.47,80,3,12.5,KZ,2021-12-13 00:35:45
335,Beaverlodge,55.2166,-119.4361,11.55,89,100,7.31,CA,2021-12-13 00:35:45
336,Margate,51.3813,1.3862,53.31,80,100,4.0,GB,2021-12-13 00:35:46
337,Bubaque,11.2833,-15.8333,80.96,72,6,12.86,GW,2021-12-13 00:35:46
338,Faratsiho,-19.4,46.95,53.69,89,17,4.27,MG,2021-12-13 00:35:47
339,Padang,-0.9492,100.3543,77.05,92,100,2.1,ID,2021-12-13 00:35:00
340,Bonito,-21.1211,-56.4819,71.28,98,96,3.29,BR,2021-12-13 00:35:47
341,Adrar,20.5022,-10.0711,65.48,17,76,10.18,MR,2021-12-13 00:35:47
342,Itarema,-2.9248,-39.9167,80.42,80,94,15.75,BR,2021-12-13 00:35:48
343,Iguaba Grande,-22.8392,-42.2289,74.52,96,100,5.93,BR,2021-12-13 00:35:48
344,Pacific Grove,36.6177,-121.9166,55.51,77,90,14.0,US,2021-12-13 00:35:48
345,Tutoia,-2.7619,-42.2744,84.18,83,85,13.94,BR,2021-12-13 00:35:49
346,Pleshanovo,52.8333,53.4833,8.24,93,12,1.77,RU,2021-12-13 00:35:49
347,Peace River,56.2501,-117.286,5.31,85,90,14.97,CA,2021-12-13 00:35:49
348,Hobe Sound,27.0595,-80.1364,78.78,81,1,5.75,US,2021-12-13 00:35:16
349,Inzer,54.2167,57.5556,5.74,94,44,2.59,RU,2021-12-13 00:35:50
350,Rafaela,-31.2503,-61.4867,66.06,68,100,13.0,AR,2021-12-13 00:35:50
351,Roald,62.5833,6.1333,43.09,87,90,8.05,NO,2021-12-13 00:35:50
352,Dubbo,-32.25,148.6167,75.33,50,0,5.75,AU,2021-12-13 00:35:51
353,Dhankuta,26.9833,87.3333,45.9,75,0,6.26,NP,2021-12-13 00:35:51
354,Karratha,-20.7377,116.8463,96.85,18,0,6.46,AU,2021-12-13 00:35:51
355,Sinnamary,5.3833,-52.95,77.02,90,100,9.37,GF,2021-12-13 00:35:36
356,Matay,28.419,30.7792,61.93,58,100,6.55,EG,2021-12-13 00:35:52
357,Gao,16.6362,1.637,73.04,10,100,10.42,ML,2021-12-13 00:35:52
358,Noumea,-22.2763,166.4572,78.78,89,100,1.19,NC,2021-12-13 00:35:52
359,Moose Factory,51.2585,-80.6094,23.0,93,90,4.61,CA,2021-12-13 00:35:53
360,Cortes,41.9395,-1.4396,45.45,85,88,3.87,ES,2021-12-13 00:35:53
361,Port-Gentil,-0.7193,8.7815,79.21,82,100,6.29,GA,2021-12-13 00:35:54
362,Norman Wells,65.282,-126.8329,-2.16,71,75,13.8,CA,2021-12-13 00:35:54
363,Butaritari,3.0707,172.7902,82.49,72,31,15.35,KI,2021-12-13 00:35:54
364,Chiredzi,-21.05,31.6667,75.97,61,100,4.45,ZW,2021-12-13 00:35:55
365,Sao Filipe,14.8961,-24.4956,74.66,73,100,7.45,CV,2021-12-13 00:35:55
366,Pitanga,-24.7572,-51.7614,68.23,81,100,2.71,BR,2021-12-13 00:35:55
367,Goderich,43.7501,-81.7165,43.12,65,3,20.71,CA,2021-12-13 00:36:20
368,Adra,36.7496,-3.0206,58.82,72,0,5.3,ES,2021-12-13 00:36:55
369,Passo De Camaragibe,-9.2368,-35.4901,78.35,84,20,5.59,BR,2021-12-13 00:36:56
370,Beipiao,41.7919,120.7792,21.38,34,0,5.61,CN,2021-12-13 00:36:56
371,Vila Franca Do Campo,37.7167,-25.4333,56.19,56,100,15.3,PT,2021-12-13 00:36:56
372,Port-Cartier,50.0334,-66.8654,27.75,69,6,18.84,CA,2021-12-13 00:36:55
373,Aransas Pass,27.9095,-97.15,61.03,83,1,3.0,US,2021-12-13 00:36:57
374,Avera,33.194,-82.5271,49.66,42,0,6.87,US,2021-12-13 00:36:57
375,Evensk,61.95,159.2333,10.49,59,100,17.56,RU,2021-12-13 00:36:57
376,Sabha,27.0377,14.4283,49.86,60,0,8.08,LY,2021-12-13 00:36:57
377,Balakhta,55.38,91.6,-1.79,99,100,2.62,RU,2021-12-13 00:36:58
378,Boguchany,58.3814,97.4531,-16.37,99,93,2.98,RU,2021-12-13 00:36:58
379,Port Macquarie,-31.4333,152.9167,76.89,59,0,12.17,AU,2021-12-13 00:36:58
380,Tuatapere,-46.1333,167.6833,65.82,52,75,5.88,NZ,2021-12-13 00:36:59
381,Fethiye,36.6217,29.1164,64.27,78,9,7.11,TR,2021-12-13 00:36:59
382,Sao Joao Da Barra,-21.6403,-41.0511,76.33,91,100,18.77,BR,2021-12-13 00:34:35
383,La Libertad,-2.2333,-80.9,71.02,83,99,8.5,EC,2021-12-13 00:36:59
384,Corinto,37.9407,22.9573,55.69,81,65,9.82,GR,2021-12-13 00:35:46
385,Olafsvik,64.8945,-23.7142,41.77,88,100,20.38,IS,2021-12-13 00:37:00
386,Bulembu,-25.9667,31.1333,66.24,89,100,2.51,SZ,2021-12-13 00:37:00
387,Provideniya,64.3833,-173.3,-10.64,70,0,6.71,RU,2021-12-13 00:37:00
388,Beterou,9.1992,2.2586,76.19,22,4,2.48,BJ,2021-12-13 00:37:00
389,Santa Isabel Do Rio Negro,-0.4139,-65.0192,76.08,91,96,2.86,BR,2021-12-13 00:37:01
390,Kushima,31.4583,131.2333,51.84,58,0,8.68,JP,2021-12-13 00:37:01
391,Khonsa,27.0167,95.5667,51.21,74,0,3.71,IN,2021-12-13 00:37:01
392,Sabya,17.1495,42.6254,73.02,55,0,8.41,SA,2021-12-13 00:37:02
393,Maloy,61.9353,5.1136,44.73,82,100,5.01,NO,2021-12-13 00:37:02
394,Matera,40.5,16.4167,45.57,67,8,16.37,IT,2021-12-13 00:37:02
395,Lyuban,52.7985,28.0048,35.04,98,100,6.73,BY,2021-12-13 00:37:02
396,Juneau,58.3019,-134.4197,26.65,95,100,7.49,US,2021-12-13 00:35:08
397,Parthenay,46.6667,-0.4167,45.48,95,64,5.03,FR,2021-12-13 00:37:03
398,Pueblo Nuevo,23.3833,-105.3833,51.4,64,87,3.15,MX,2021-12-13 00:37:03
399,Andenes,69.3143,16.1194,34.07,93,90,12.66,NO,2021-12-13 00:37:03
400,Aykhal,66.0,111.5,-49.59,100,67,6.44,RU,2021-12-13 00:33:17
401,Port Blair,11.6667,92.75,80.31,69,21,14.09,IN,2021-12-13 00:35:55
402,Saryozek,44.3583,77.9753,29.05,90,100,3.89,KZ,2021-12-13 00:37:04
