City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Adrar,20.5022,-10.0711,62.11,18,92,10.56,overcast clouds
267,Sola,-13.8833,167.55,82.96,78,100,14.65,moderate rain
268,Eyl,7.9803,49.8164,84.16,51,0,23.22,clear sky
269,Aloleng,16.1307,119.7824,84.78,62,7,9.4,clear sky
270,Luwuk,-0.9516,122.7875,85.53,77,100,2.15,overcast clouds
271,Muisne,0.6,-80.0333,73.53,95,100,4.9,light rain
272,Ostrovnoy,68.0531,39.5131,26.19,94,100,11.25,overcast clouds
273,Provideniya,64.3833,-173.3,-10.95,93,100,12.12,overcast clouds
274,Olafsvik,64.8945,-23.7142,39.83,95,100,15.82,light rain
275,Gravdal,68.1214,13.5031,35.28,80,20,0.0,light rain
276,Chumikan,54.7183,135.315,5.11,86,30,17.9,scattered clouds
277,Gorodishche,48.8045,44.4744,20.28,86,75,15.66,broken clouds
278,Klaksvik,62.2266,-6.589,40.12,97,100,38.1,overcast clouds
279,Mporokoso,-9.3727,30.125,76.37,51,6,7.18,clear sky
280,Omsk,55.0,73.4,12.09,72,75,8.99,broken clouds
281,Aksarka,66.5606,67.7975,-13.52,100,100,5.37,overcast clouds
282,Talnakh,69.4865,88.3972,-27.92,82,57,3.09,broken clouds
283,Lompoc,34.6391,-120.4579,51.78,85,1,5.75,clear sky
284,Lovozero,68.005,35.0117,20.34,94,100,4.59,overcast clouds
285,Lumut,4.2323,100.6298,91.76,70,40,5.75,scattered clouds
286,Kavaratti,10.5669,72.642,82.54,68,80,6.6,broken clouds
287,Paka,4.6374,103.4368,84.13,79,40,10.36,scattered clouds
288,Luderitz,-26.6481,15.1594,70.66,52,0,16.35,clear sky
289,Srednekolymsk,67.45,153.6833,-26.39,93,100,2.48,overcast clouds
290,Quang Ngai,15.1167,108.8,73.35,85,94,9.64,overcast clouds
291,Longyearbyen,78.2186,15.6401,31.84,86,40,14.97,light shower snow
292,Umm Lajj,25.0213,37.2685,79.63,24,100,3.27,overcast clouds
293,Rio Gallegos,-51.6226,-69.2181,42.85,49,40,8.05,scattered clouds
294,Waspan,14.7419,-83.9717,70.03,98,8,2.93,clear sky
295,Lavrentiya,65.5833,-171.0,-16.82,90,77,5.08,broken clouds
296,San Patricio,28.017,-97.5169,64.26,79,100,4.07,overcast clouds
297,Cafelandia,-21.8025,-49.61,75.16,69,100,4.27,overcast clouds
298,Mecca,21.4267,39.8261,80.06,26,6,0.72,clear sky
299,Guadalupe Victoria,32.2869,-115.105,49.28,21,0,2.82,clear sky
300,Saint-Georges,12.0564,-61.7485,74.88,94,75,5.75,broken clouds
301,Ust-Tsilma,65.441,52.1498,9.97,94,100,5.12,overcast clouds
302,Oeiras,-7.0253,-42.1311,82.22,48,100,2.93,overcast clouds
303,Springfield,37.2153,-93.2982,39.97,66,1,8.01,clear sky
304,Cessnock,-32.8333,151.35,71.13,60,0,7.78,clear sky
305,Puerto Del Rosario,28.5004,-13.8627,60.55,94,20,8.05,few clouds
306,Nicoya,10.1483,-85.452,76.55,88,100,2.98,overcast clouds
307,Thanatpin,17.2119,96.3033,86.94,46,10,5.12,clear sky
308,Sisimiut,66.9395,-53.6735,15.28,83,6,11.63,clear sky
309,Pevek,69.7008,170.3133,-32.46,97,12,2.35,few clouds
310,Banov,48.988,17.7175,31.24,93,100,3.04,overcast clouds
311,Baykit,61.67,96.37,-21.01,99,82,1.12,broken clouds
312,Mitsamiouli,-11.3847,43.2844,89.89,51,40,12.66,scattered clouds
313,Ugoofaaru,5.6667,73.0,80.1,80,100,13.09,light rain
314,La Orilla,17.9833,-102.2333,74.57,88,0,3.69,clear sky
315,Melfi,40.9965,15.6514,41.49,81,58,8.03,broken clouds
316,Bagdarin,54.4333,113.6,6.91,82,11,2.93,few clouds
317,Donghai,22.9459,115.642,72.95,47,0,6.96,clear sky
318,Kodyma,48.0988,29.1246,33.15,94,100,3.74,light snow
319,Evensk,61.95,159.2333,11.1,54,100,22.03,overcast clouds
320,Banda Aceh,5.5577,95.3222,85.96,62,40,9.13,scattered clouds
